 (Half Day),(Meio Dia)
Manufacture against Sales Order,Fabricação contra a Pedido de Venda
Manufacture/Repack,Fabricar / Reembalar
Manufactured Qty,Qtde. Fabricada
Manufactured quantity will be updated in this warehouse,Quantidade fabricada será atualizada neste almoxarifado
Manufactured quantity {0} cannot be greater than planned quanitity {1} in Production Order {2},Quantidade fabricada {0} não pode ser maior do que o planejado quanitity {1} em ordem de produção {2}
Manufacturer,Fabricante
Manufacturer Part Number,Nº de Peça do Fabricante
Manufacturing,Fabricação
Manufacturing Quantity,Quantidade de Fabricação
Manufacturing Quantity is mandatory,Quantidade de Fabricação é obrigatória
Margin,Margem
Marital Status,Estado Civil
Market Segment,Segmento de Mercado
Marketing,Marketing
Marketing Expenses,Despesas de Marketing
Married,Casado(a)
Mass Mailing,Divulgação em Massa
Master Name,Nome do Cadastro
Master Name is mandatory if account type is Warehouse,Nome do Cadastro é obrigatório se o tipo de conta é Almoxarifado
Master Type,Tipo de Cadastro
Masters,Cadastros
Match non-linked Invoices and Payments.,Combinar Faturas e Pagamentos não relacionados.
Material Issue,Emissão de Materiais
Material Receipt,Recebimento de Materiais
Material Request,Pedido de Materiais
Material Request Detail No,Detalhe do Pedido de Materiais Nº
Material Request For Warehouse,Pedido de Materiais para Almoxarifado
Material Request Item,Item do Pedido de Materiais
Material Request Items,Itens do Pedido de Materiais
Material Request No,Pedido de Materiais Nº
Material Request Type,Tipo de Pedido de Materiais
Material Request of maximum {0} can be made for Item {1} against Sales Order {2},Pedido de Materiais de no máximo {0} pode ser feito para o item {1} contra a Pedido de Venda {2}
Material Request used to make this Stock Entry,Pedido de Materiais usado para fazer este Lançamento de Estoque
Material Request {0} is cancelled or stopped,Pedido de Materiais {0} está cancelado ou parado
Material Requests for which Supplier Quotations are not created,Pedidos de Materiais para os quais não são criadas Cotações de Fornecedor
Material Requests {0} created,Pedidos de Materiais {0} criados
Material Requirement,Solicitação de Material
Material Transfer,Transferência de Material
Materials,Materiais
Materials Required (Exploded),Materiais Necessários (Explodida)
Max 5 characters,Máx 5 caracteres
Max Days Leave Allowed,Período Máximo de Licença
Max Discount (%),Desconto Máx. (%)
Max Qty,Qtde Máx.
Maximum allowed credit is {0} days after posting date,Crédito máximo permitido é {0} dias após a data de publicação
Maximum {0} rows allowed,Máximo de {0} linhas permitidas
Maxiumm discount for Item {0} is {1}%,Desconto Máximo para o Item {0} {1}%
Medical,Médico
Medium,Médio
"Merging is only possible if following properties are same in both records. Group or Ledger, Root Type, Company","Combinar só é possível se asseguintes propriedades são as mesmas em ambos os registros. Grupo ou Livro Contábil, Tipo de Origem, Empresa"
Message,Mensagem
Message Parameter,Parâmetro da Mensagem
Message Sent,Mensagem Enviada
Message updated,Mensagem Atualizada
Messages,Mensagens
Messages greater than 160 characters will be split into multiple messages,Mensagens maiores do que 160 caracteres vão ser divididos em múltiplas mensagens
Middle Income,Receita Média
Milestone,Marco
Milestone Date,Data do Marco
Milestones,Marcos
Milestones will be added as Events in the Calendar,Marcos serão adicionados como eventos no calendário
Min Order Qty,Pedido Mínimo
Min Qty,min Qty
Min Qty can not be greater than Max Qty,Qty mínimo não pode ser maior do que Max Qtde
Minimum Order Qty,Pedido Mínimo
Minute,Minuto
Misc Details,Detalhes Diversos
Miscellaneous Expenses,Despesas Diversas
Miscelleneous,Diversos
Mobile No,Telefone Celular
Mobile No.,Telefone Celular.
Mode of Payment,Forma de Pagamento
Modern,Moderno
Modified Amount,Quantidade modificada
Monday,Segunda-feira
Month,Mês
Monthly,Mensal
Monthly Attendance Sheet,Folha de Presença Mensal
Monthly Earning & Deduction,Salário mensal e dedução
Monthly Salary Register,Salário mensal Registrar
Monthly salary statement.,Declaração salarial mensal.
More Details,Mais detalhes
More Info,Mais informações
Motion Picture & Video,Cinema e Video
Moving Average,Média Móvel
Moving Average Rate,Valor de Média Móvel
Mr,Sr.
Ms,Sra.
Multiple Item prices.,Múltiplos Preços do Item.
"Multiple Price Rule exists with same criteria, please resolve \
			conflict by assigning priority. Price Rules: {0}","Existem múltiplas Regras de Preços com os mesmos critérios, por favor resolva \
			este conflito definindo a prioridade. Regras de Preços: {0}"
Music,Música
Must be Whole Number,Deve ser Número Inteiro
Name,Nome
Name and Description,Nome e Descrição
Name and Employee ID,Nome e Identificação do Colaborador
"Name of new Account. Note: Please don't create accounts for Customers and Suppliers, they are created automatically from the Customer and Supplier master","Nome de nova conta. Nota: Por favor não criar contas para clientes e fornecedores, eles são criados automaticamente a partir do Cliente e Fornecedor mestre"
Name of person or organization that this address belongs to.,Nome da pessoa ou organização a que este endereço pertence.
Name of the Budget Distribution,Nome da Distribuição de Orçamento
Naming Series,Séries Nomeadas
National Tax Number,CNPJ
Negative Quantity is not allowed,Quantidade Negativa não é permitida
Negative Stock Error ({6}) for Item {0} in Warehouse {1} on {2} {3} in {4} {5},Negativo Banco de Erro ( {6} ) para item {0} no Almoxarifado {1} em {2} {3} em {4} {5}
Negative Valuation Rate is not allowed,Negativa Avaliação Taxa não é permitido
Negative balance in Batch {0} for Item {1} at Warehouse {2} on {3} {4},Saldo negativo em lote {0} para {1} item no Almoxarifado {2} em {3} {4}
Net Pay,Pagamento Líquido
Net Pay (in words) will be visible once you save the Salary Slip.,Pagamento líquido (por extenso) será visível quando você salvar a folha de pagamento.
Net Total,Total Líquido
Net Total (Company Currency),Total Líquido (Moeda da Empresa)
Net Weight,Peso Líquido
Net Weight UOM,UDM do Peso Líquido
Net Weight of each Item,Peso líquido de cada item
Net pay cannot be negative,Salário líquido não pode ser negativo
Never,Nunca
New ,Novo(a) 
New Account,Nova Conta
New Account Name,Nome da Nova Conta
New BOM,Nova LDM
New Communications,Nova Comunicação
New Company,Nova Empresa
New Cost Center,Novo Centro de Custo
New Cost Center Name,Novo Centro de Custo Nome
New Delivery Notes,Novas Guias de Remessa
New Enquiries,Novas Consultas
New Leads,Novos Prospectos
New Leave Application,Nova Solicitação de Férias
New Leaves Allocated,Novas Férias Alocadas
New Leaves Allocated (In Days),Novas Férias Alocadas (em dias)
New Material Requests,Novas Solicitações de Materiais
New Projects,Novos Projetos
New Purchase Orders,Novas Ordens de Compra
New Purchase Receipts,Novos Recibos de Compra
New Quotations,Novas Cotações
New Sales Orders,Novos Pedidos de Venda
New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt,Novo Nº de Série não pode ter Almoxarifado. O Almoxarifado deve ser definido por Lançamento de Estoque ou Recibo de Compra
New Stock Entries,Novos Lançamentos de Estoque
New Stock UOM,Nova UDM de Estoque
New Stock UOM is required,Nova UDM de Estoque é necessária
New Stock UOM must be different from current stock UOM,Nova UDM de Estoque deve ser diferente da atual UDM
New Supplier Quotations,Novas Cotações de Fornecedores
New Support Tickets,Novos pedidos de suporte
New UOM must NOT be of type Whole Number,Nova UDM NÃO deve ser do tipo Número Inteiro
New Workplace,Novo Local de Trabalho
Newsletter,Boletim Informativo
Newsletter Content,Conteúdo do Boletim Informativo
Newsletter Status,Estado do Boletim Informativo
Newsletter has already been sent,O boletim informativo já foi enviado
Newsletters is not allowed for Trial users,Newsletters não é permitido para usuários experimentais
"Newsletters to contacts, leads.","Boletim Informativo para contatos, prospectos."
Newspaper Publishers,Editores de Jornal
Next,Próximo(a)
Next Contact By,Próximo Contato Por
Next Contact Date,Data do Próximo Contato
Next Date,Próxima Data
Next email will be sent on:,Próximo e-mail será enviado em:
No,Nenhum(a)
No Customer Accounts found.,Nenhum cliente foi encontrado.
No Customer or Supplier Accounts found,Nenhuma Conta de Cliente ou Fornecedor encontrada
No Expense Approvers. Please assign 'Expense Approver' Role to atleast one user,Nenhum Aprovador de Despesas. Por favor atribua a função 'Aprovador de Despesas' para pelo menos um usuário
No Item with Barcode {0},Nenhum Item com o Código de Barras {0}
No Item with Serial No {0},Nenhum Item com o Nº de Série {0}
No Items to pack,Nenhum Item para embalar
No Leave Approvers. Please assign 'Leave Approver' Role to atleast one user,Nenhum Aprovador de Despesas. Por favor atribuir o papel de 'Aprovador de Despesas' para pelo menos um usuário
No Permission,Sem Permissão
No Production Orders created,Não há ordens de produção criadas
No Supplier Accounts found. Supplier Accounts are identified based on 'Master Type' value in account record.,Nenhum fornecedor responde encontrado. Contas de fornecedores são identificados com base no valor 'Master Type' na conta de registro.
No accounting entries for the following warehouses,Nenhuma entrada de contabilidade para os seguintes almoxarifados
No addresses created,Nenhum Endereço criado
No contacts created,Nenhum contato criado
No default Address Template found. Please create a new one from Setup > Printing and Branding > Address Template.,Nenhum Modelo de Endereço padrão encontrado. Por favor crie um novo em Configuração > Impressão e Marca > Modelo de Endereço.
No default BOM exists for Item {0},No BOM padrão existe para item {0}
No description given,Sem descrição dada
No employee found,Nenhum colaborador encontrado
No employee found!,Nenhum colaborador encontrado!
No of Requested SMS,Nº de SMS pedidos
No of Sent SMS,Nº de SMS enviados
No of Visits,Nº de Visitas
No permission,Sem permissão
No record found,Nenhum registro encontrado
No salary slip found for month: ,Sem folha de salário encontrado para o mês:
Non Profit,Sem Fins Lucrativos
Nos,Nos
Not Active,Não Ativo
Not Applicable,Não Aplicável
Not Available,Não Disponível
Not Billed,Não Faturado
Not Delivered,Não Entregue
Not Set,Não Definido
Not allowed to update entries older than {0},Não permitido para atualizar as entradas mais velho do que {0}
Not authorized to edit frozen Account {0},Não autorizado para editar conta congelada {0}
Not authroized since {0} exceeds limits,Não authroized desde {0} excede os limites
Not permitted,Não permitido(a)
Note,Nota
Note User,Nota usuários
"Note: Backups and files are not deleted from Dropbox, you will have to delete them manually.","Nota: Backups e arquivos não são excluídos do Dropbox, você terá que apagá-los manualmente."
"Note: Backups and files are not deleted from Google Drive, you will have to delete them manually.","Nota: Backups e arquivos não são excluídos do Google Drive, você terá que apagá-los manualmente."
Note: Due Date exceeds the allowed credit days by {0} day(s),Nota: Due Date excede os dias de crédito permitidas por {0} dia (s)
Note: Email will not be sent to disabled users,Nota: e-mails não serão enviado para usuários desabilitados
Note: Item {0} entered multiple times,Nota : Item {0} entrou várias vezes
Note: Payment Entry will not be created since 'Cash or Bank Account' was not specified,Nota: Lançamento de Pagamento não será criado porque 'Caixa ou Conta Bancária' não foi especificado
Note: System will not check over-delivery and over-booking for Item {0} as quantity or amount is 0,Nota : O sistema não irá verificar o excesso de entrega e sobre- reserva para item {0} como quantidade ou valor é 0
Note: There is not enough leave balance for Leave Type {0},Nota: Não é suficiente equilíbrio pela licença Tipo {0}
Note: This Cost Center is a Group. Cannot make accounting entries against groups.,Nota: Este Centro de Custo é um grupo . Não pode fazer lançamentos contábeis contra grupos .
Note: {0},Nota : {0}
Notes,Notas
Notes:,Notas:
Nothing to request,Nada a solicitar
Notice (days),Notificar (dias)
Notification Control,Controle de Notificações
Notification Email Address,Endereço de E-Mail de Notificação
Notify by Email on creation of automatic Material Request,Notificar por E-Mail sobre a criação de Pedido de Material automático
Number Format,Formato Numérico
Offer Date,Data de Oferta
Office,Escritório
Office Equipments,Equipamentos de Escritório
Office Maintenance Expenses,Despesas de Manutenção do Escritório
Office Rent,Aluguel do Escritório
Old Parent,Antigo Pai
On Net Total,No Total Líquido
On Previous Row Amount,No Valor na Linha Anterior
On Previous Row Total,No Total na Linha Anterior
Online Auctions,Leilões Online
Only Leave Applications with status 'Approved' can be submitted,Só Solicitações de Férias com status 'Aprovado' podem ser submetidas
"Only Serial Nos with status ""Available"" can be delivered.",Apenas os Nºs de Série com status de 'Disponível' podem ser entregues.
Only leaf nodes are allowed in transaction,Somente nós-folha são permitidos em transações
Only the selected Leave Approver can submit this Leave Application,Somente o Aprovador de Férias selecionado pode enviar esta Solicitação de Férias
Open,Aberto
Open Production Orders,Pedidos de Produção em Aberto
Open Tickets,Tickets Abertos
Opening (Cr),Abertura (Cr)
Opening (Dr),Abertura (Db)
Opening Date,Data de Abertura
Opening Entry,Lançamento de Abertura
Opening Qty,Qtde de Abertura
Opening Time,Horário de Abertura
Opening Value,Valor de Abertura
Opening for a Job.,Vaga de Emprego.
Operating Cost,Custo de Operação
Operation Description,Descrição da Operação
Operation No,Nº da Operação
Operation Time (mins),Tempo de Operação (minutos)
Operation {0} is repeated in Operations Table,Operação {0} se repete na Tabela de Operações
Operation {0} not present in Operations Table,Operação {0} não está presente na Tabela de Operações
Operations,Operações
Opportunity,Oportunidade
Opportunity Date,Data da Oportunidade
Opportunity From,Oportunidade De
Opportunity Item,Item da Oportunidade
Opportunity Items,Itens da Oportunidade
Opportunity Lost,Oportunidade Perdida
Opportunity Type,Tipo de Oportunidade
Optional. This setting will be used to filter in various transactions.,Opcional. Esta configuração será usada para filtrar em várias transações.
Order Type,Tipo de Ordem
Order Type must be one of {1},Tipo de Ordem deve ser uma das {1}
Ordered,Pedido
Ordered Items To Be Billed,Itens Encomendados a Serem Faturados
Ordered Items To Be Delivered,Itens Encomendados a Serem Entregues
Ordered Qty,Qtde Encomendada
"Ordered Qty: Quantity ordered for purchase, but not received.","Qtde Encomendada: Quantidade pedida para a compra, mas não recebida."
Ordered Quantity,Quantidade Encomendada
Orders released for production.,Ordens liberadas para produção.
Organization Name,Nome da Organização
Organization Profile,Perfil da Organização
Organization branch master.,Ramo Principal da Organização.
Organization unit (department) master.,Unidade principal (departamento) da Organização.
Original Amount,Valor original
Other,Outro
Other Details,Outros Detalhes
Others,Outros
Out Qty,Fora Qtde
Out Value,Fora Valor
Out of AMC,Fora do CAM
Out of Warranty,Fora de Garantia
Outgoing,De Saída
Outstanding Amount,Quantia em Aberto
Outstanding for {0} cannot be less than zero ({1}),Excelente para {0} não pode ser inferior a zero ( {1})
Overhead,Despesas gerais
Overheads,As despesas gerais
Overlapping conditions found between:,Condições sobreposição encontradas entre :
Overview,Visão Geral
Owned,Pertencente
Owner,proprietário
PL or BS,PL ou BS
PO Date,PO Data
PO No,No PO
POP3 Mail Server,Servidor de E-Mail POP3
POP3 Mail Settings,Configurações de E-Mail POP3
POP3 mail server (e.g. pop.gmail.com),Servidor de E-Mail POP3 (por exemplo pop.gmail.com)
POP3 server e.g. (pop.gmail.com),Servidor de E-Mail POP3 (por exemplo pop.gmail.com)
POS Setting,Configuração do PDV
POS Setting required to make POS Entry,Configuração do PDV necessária para fazer Lançamento no PDV
POS Setting {0} already created for user: {1} and company {2},Configuração do PDV {0} já criada para o usuário: {1} e empresa {2}
POS View,POS Ver
PR Detail,Detalhe PR
Package Item Details,Detalhes do Item do Pacote
Package Items,Itens do Pacote
Package Weight Details,Detalhes do Peso do Pacote
Packed Item,Item do Pacote da Guia de Remessa
Packed quantity must equal quantity for Item {0} in row {1},A quantidade embalada deve ser igual a quantidade de item {0} na linha {1}
Packing Details,Detalhes da Embalagem
Packing List,Lista de embalagem
Packing Slip,Guia de Remessa
Packing Slip Item,Item da Guia de Remessa
Packing Slip Items,Itens da Guia de Remessa
Packing Slip(s) cancelled,Deslizamento (s) de embalagem cancelado
Page Break,Quebra de página
Page Name,Nome da Página
Paid Amount,Valor Pago
Paid amount + Write Off Amount can not be greater than Grand Total,Valor pago + Write Off Valor não pode ser maior do que o total geral
Pair,Par
Parameter,Parâmetro
Parent Account,Conta pai
Parent Cost Center,Centro de Custo pai
Parent Customer Group,Grupo de Clientes pai
Parent Detail docname,Docname do Detalhe pai
Parent Item,Item Pai
Parent Item Group,Grupo do Item Pai
Parent Item {0} must be not Stock Item and must be a Sales Item,Pai item {0} não deve ser Stock item e deve ser um item de vendas
Parent Party Type,Tipo de Parceiro Pai
Parent Sales Person,Vendedor Pai
Parent Territory,Território Pai
Parent Website Page,Página do Site Pai
Parent Website Route,Rota do Site Pai
Parent account can not be a ledger,Conta Pai não pode ser um livro contábil
Parent account does not exist,Conta Pai não existe
Parenttype,Tipo do Pai
Part-time,De meio expediente
Partially Completed,Parcialmente Concluída
Partly Billed,Parcialmente Faturado
Partly Delivered,Parcialmente Entregue
Partner Target Detail,Detalhe da Meta do Parceiro
Partner Type,Tipo de Parceiro
Partner's Website,Site do Parceiro
Party Type,Tipo de Parceiro
Party Type Name,Nome do Tipo de Parceiro
Passive,Passivo(a)
Passport Number,Nº do Passaporte
Password,Senha
Pay To / Recd From,Pagar Para/ Recebido De
Payable,A Pagar
Payables,Contas A Pagar
Payables Group,Grupo de Contas A Pagar
Payment Days,Datas de Pagamento
Payment Due Date,Data de Vencimento
Payment Period Based On Invoice Date,Período de Pagamento com Base na Data da Fatura
Payment Type,Tipo de Pagamento
Payment of salary for the month {0} and year {1},Pagamento de salário para o mês {0} e {1} ano
Payment to Invoice Matching Tool,Ferramenta de Pagamento contra Fatura correspondente
Payment to Invoice Matching Tool Detail,Detalhe da Ferramenta de Pagamento contra Fatura correspondente
Payments,Pagamentos
Payments Made,Pagamentos Efetuados
Payments Received,Pagamentos Recebidos
Payments made during the digest period,Pagamentos efetuados durante o período de digestão
Payments received during the digest period,Pagamentos recebidos durante o período de digestão
Payroll Settings,Configurações da Folha de Pagamento
Pending,Pendente
Pending Amount,Valor Pendente
Pending Items {0} updated,Itens Pendentes {0} atualizados
Pending Review,Revisão Pendente
Pending SO Items For Purchase Request,Itens da Pedido de Vendas Pendentes para a Ordem de Compra
Pension Funds,Fundos de Pensão
Percent Complete,Porcentagem Concluída
Percentage Allocation,Alocação Percentual
Percentage Allocation should be equal to 100%,Percentual de alocação deve ser igual a 100%
Percentage variation in quantity to be allowed while receiving or delivering this item.,Variação percentual na quantidade a ser permitido ao receber ou entregar este item.
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,"Percentagem que estão autorizados a receber ou entregar mais contra a quantidade encomendada. Por exemplo: Se você encomendou 100 unidades. e seu subsídio é de 10%, então você está autorizada a receber 110 unidades."
Performance appraisal.,Avaliação de desempenho.
Period,Período
Period Closing Voucher,Comprovante de Encerramento de Período
Periodicity,Periodicidade
Permanent Address,Endereço permanente
Permanent Address Is,O Endereço Permanente É
Permission,Permissão
Personal,Pessoal
Personal Details,Detalhes pessoais
Personal Email,E-Mail Pessoal
Pharmaceutical,Farmacêutico
Pharmaceuticals,Farmacêuticos
Phone,Telefone
Phone No,Nº de Telefone
Piecework,Freelance
Pincode,CEP
Place of Issue,Local de Emissão
Plan for maintenance visits.,Plano para visitas de manutenção.
Planned Qty,Qtde Planejada
"Planned Qty: Quantity, for which, Production Order has been raised, but is pending to be manufactured.","Qtde Planejada: Quantidade para a qual a ordem de produção foi gerada, mas está pendente para ser fabricada."
Planned Quantity,Quantidade Planejada
Planning,Planejamento
Plant,Planta
Plant and Machinery,Máquinas e Instalações
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,Por favor insira a correta Abreviação ou Nome Curto pois ele será adicionado como sufixo a todas as Contas.
Please Update SMS Settings,Por favor atualize as Configurações  de SMS
Please add expense voucher details,Por favor adicione despesas detalhes do voucher
Please check 'Is Advance' against Account {0} if this is an advance entry.,Por favor verifique 'É Advance' contra a Conta {0} se isso é uma entrada antecipadamente.
Please click on 'Generate Schedule',Por favor clique em 'Gerar Agendamento'
Please click on 'Generate Schedule' to fetch Serial No added for Item {0},Por favor clique em 'Gerar Agendamento' para obter o Nº de Série adicionado ao Item {0}
Please click on 'Generate Schedule' to get schedule,Por favor clique em 'Gerar Agendamento' para obter o agendamento
Please create Customer from Lead {0},Por favor crie Cliente a partir do Prospecto {0}
Please create Salary Structure for employee {0},Por favor crie Estrutura Salarial para o Colaborador {0}
Please create new account from Chart of Accounts.,Por favor crie uma nova conta do Plano de Contas.
Please do NOT create Account (Ledgers) for Customers and Suppliers. They are created directly from the Customer / Supplier masters.,Por favor não criar Contas (Livros Contábeis) para Clientes e Fornecedores. Eles são criados diretamente dos cadastros de Clientes / Fornecedores.
Please enter 'Expected Delivery Date',Por favor forneça a 'Data Prevista de Entrega'
Please enter 'Is Subcontracted' as Yes or No,Por favor digite 'É Subcontratado' como Sim ou Não
Please enter 'Repeat on Day of Month' field value,Por favor forneça um valor para o campo 'Repetir no Dia do Mês'
Please enter Account Receivable/Payable group in company master,Por favor forneça o grupo Contas a Receber / Pagar no cadastro da empresa
Please enter Approving Role or Approving User,Por favor indique Aprovando Papel ou aprovar Usuário
Please enter BOM for Item {0} at row {1},Por favor indique BOM por item {0} na linha {1}
Please enter Company,Por favor indique a Empresa
Please enter Cost Center,Por favor indique o Centro de Custo
Please enter Delivery Note No or Sales Invoice No to proceed,Por favor insira Nº da Nota de Entrega ou Nº da Fatura de Vendas para continuar
Please enter Employee Id of this sales parson,Por favor entre Id de Colaborador deste vendedor
Please enter Expense Account,Por favor insira Conta Despesa
Please enter Item Code to get batch no,Por favor insira o Código do Item para obter o nº do lote
Please enter Item Code.,Por favor insira o Código do Item.
Please enter Item first,Por favor informe primeiro o Item
Please enter Maintaince Details first,Por favor informe os Detalhes da Manutenção primeiro
Please enter Master Name once the account is created.,Por favor indique o Nome Mestre uma vez que a conta é criada.
Please enter Planned Qty for Item {0} at row {1},Por favor informe a Quantidade Planejada para o Item {0} na linha {1}
Please enter Production Item first,Por favor informe o Item de Produção primeiro
Please enter Purchase Receipt No to proceed,Por favor informe o Nº do Recibo de Compra para continuar
Please enter Reference date,Por favor indique data de referência
Please enter Warehouse for which Material Request will be raised,Por favor informe o Almoxarifado para o qual o Pedido de Materiais será gerado
Please enter Write Off Account,Por favor informe a Conta Write Off
Please enter atleast 1 invoice in the table,Por favor indique pelo menos uma fatura na tabela
Please enter company first,Por favor insira primeiro a empresa
Please enter company name first,Por favor insira o nome da empresa primeiro
Please enter default Unit of Measure,Por favor entre Unidade De Medida (UDM) padrão
Please enter default currency in Company Master,Por favor indique moeda padrão na Empresa Mestre
Please enter email address,Por favor insira o endereço de email
Please enter item details,Por favor insira os detalhes do item
Please enter message before sending,Por favor digite a mensagem antes de enviá-la
Please enter parent account group for warehouse account,Por favor digite grupo conta principal para a conta do almoxarifado
Please enter parent cost center,Por favor entre o centro de custo pai
Please enter quantity for Item {0},Por favor indique a quantidade para o item {0}
Please enter relieving date.,Por favor indique data alívio.
Please enter sales order in the above table,Por favor entre pedidos de vendas na tabela acima
Please enter valid Company Email,Por favor informe um E-mail válido para a Empresa 
Please enter valid Email Id,Por favor informe Id do e-mail válido
Please enter valid Personal Email,Por favor informe e-mail Pessoal válido
Please enter valid mobile nos,Por favor informe nºs de celular válidos
Please install dropbox python module,Por favor instale o módulo python para Dropbox
Please mention no of visits required,Por favor informe o nº de visitas necessárias
Please pull items from Delivery Note,Por favor obtenha os itens da Note de Entrega
Please save the Newsletter before sending,Por favor salve o Boletim Informativo antes de enviar
Please save the document before generating maintenance schedule,Por favor salvar o documento antes de gerar programação de manutenção
Please select Account first,Por favor selecione Conta primeiro
Please select Bank Account,Por favor selecione Conta Bancária
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Por favor selecione Encaminhar se você também quer incluir o saldo de licenças do ano fiscal anterior neste ano fiscal
Please select Category first,Por favor selecione a Categoria primeiro
Please select Charge Type first,Por favor selecione o Tipo de Carga primeiro
Please select Fiscal Year,Por favor selecione o Ano Fiscal
Please select Group or Ledger value,Selecione o valor Grupo ou Livro Contábil
Please select Incharge Person's name,Por favor selecione o nome da Pessoa Encarregada
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Sales BOM","Por favor selecione o Item onde ""é Item de Estoque"" é ""Não"" e ""É Item de Vendas"" é ""Sim"" e não há nenhuma outra LDM de Vendas"
Please select Price List,Por favor selecione a Lista de Preços
Please select Start Date and End Date for Item {0},Por favor selecione Data de início e data de término do item {0}
Please select a csv file,Por favor selecione um arquivo csv
Please select a valid csv file with data,Por favor selecione um arquivo csv com dados válidos
Please select a value for {0} quotation_to {1},Por favor selecione um valor para {0} quotation_to {1}
"Please select an ""Image"" first","Por favor selecione uma ""Imagem"" primeiro"
Please select charge type first,Por favor selecione o tipo de carga primeiro
Please select company first.,Por favor selecione primeiro a empresa.
Please select item code,Por favor selecione código do item
Please select month and year,Selecione mês e ano
Please select prefix first,Por favor selecione prefixo primeiro
Please select the document type first,Por favor selecione o tipo de documento primeiro
Please select weekly off day,Por favor selecione dia de folga semanal
Please select {0},Por favor selecione {0}
Please select {0} first,Por favor selecione {0} primeiro
Please set Dropbox access keys in your site config,Defina teclas de acesso Dropbox em sua configuração local
Please set Google Drive access keys in {0},Defina teclas de acesso do Google Drive em {0}
Please set default Cash or Bank account in Mode of Payment {0},Defina o Caixa ou Conta Bancária Padrão na Forma de Pagamento {0}
Please set default value {0} in Company {0},Por favor defina o valor padrão {0} na Empresa {0}
Please set {0},Por favor defina {0}
Please setup Employee Naming System in Human Resource > HR Settings,Por favor configure o Sistema de Nomeação de Colaboradores em Recursos Humanos&gt; Configurações RH
Please setup numbering series for Attendance via Setup > Numbering Series,Por favor configure série de numeração para Participação em Configurar> numeração Series
Please setup your chart of accounts before you start Accounting Entries,Por favor configure o seu plano de contas antes de começar os Lançamentos Contábeis
Please specify,"Por favor, especifique"
Please specify Company,Por favor informe a Empresa
Please specify Company to proceed,Por favor informe a Empresa para continuar
Please specify Default Currency in Company Master and Global Defaults,Por favor informe a Moeda Padrão no Cadastro da Empresa e em Padrões Globais
Please specify a,"Por favor, especifique um"
Please specify a valid 'From Case No.',Por favor especifique um válido 'Do Caso Nº'
Please specify a valid Row ID for {0} in row {1},Por favor especifique um ID de Linha válido para {0} na linha {1}
Please specify either Quantity or Valuation Rate or both,"Por favor, especifique a quantidade ou Taxa de Valorização ou ambos"
Please submit to update Leave Balance.,Por favor envie para atualizar o Balanço de Férias.
Plot,enredo
Plot By,Lote por
Point of Sale,Ponto de Venda
Point-of-Sale Setting,Configurações de Ponto-de-Venda
Post Graduate,Pós-Graduação
Postal,Postal
Postal Expenses,Despesas Postais
Posting Date,Data da Postagem
Posting Time,Horário da Postagem
Posting timestamp must be after {0},Postando timestamp deve ser posterior a {0}
Potential opportunities for selling.,Oportunidades potenciais para a venda.
Preferred Billing Address,Endereço de Cobrança Preferido
Preferred Shipping Address,Endereço para Envio Preferido
Prefix,Prefixo
Present,Apresentar
Prevdoc DocType,Prevdoc DocType
Prevdoc Doctype,Prevdoc Doctype
Preview,Pré-Visualização
Previous,Anterior
Previous Work Experience,Experiência Anterior de Trabalho
Price,Preço
Price / Discount,Preço / Desconto
Price List,Lista de Preços
Price List Currency,Moeda da Lista de Preços
Price List Currency not selected,Moeda da Lista de Preços não selecionada
Price List Exchange Rate,Taxa de Câmbio da Lista de Preços
Price List Name,Nome da Lista de Preços
Price List Rate,Valor da Lista de Preços
Price List Rate (Company Currency),Valor de Lista de Preços (Moeda da Empresa)
Price List master.,Cadastro de Listas de Preços.
Price List must be applicable for Buying or Selling,Lista de Preço deve ser aplicável para comprar ou vender
Price List not selected,Lista de Preço não selecionado
Price List {0} is disabled,Preço de {0} está desativado
Price or Discount,Preço ou desconto
Pricing Rule,Regra de Preços
Pricing Rule Help,Ajuda com a Regra de Preços
"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","A Regra de Preços é selecionada primeiro baseado no campo 'Aplicar Em', que pode ser Item, Grupo de Itens ou Marca."
"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.","A Regra de Preços é feita para sobrescrever a Lista de Preços / definir percentual de descontos, baseado em algum critério."
Pricing Rules are further filtered based on quantity.,As Regras de Preços são também filtradas baseadas na quantidade.
Print Format Style,Estilo de Formato de Impressão
Print Heading,Cabeçalho da Impressão
Print Without Amount,Imprimir Sem Quantia
Print and Stationary,Imprimir e estacionária
Printing and Branding,Impressão e Marca
Priority,Prioridade
Private Equity,Capital Privado
Privilege Leave,Licença Privilegiada
Probation,Avaliação
Process Payroll,Processar Folha de Pagamento
Produced,Produzido(a)
Produced Quantity,Quantidade Produzida
